Iter  GoF  Param1  Param2  Param3  Param4  Param5  Param6  Param7  Param8  Param9  Param10  
55   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
56   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
57   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
58   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
59   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
60   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
61   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
62   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
63   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
64   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
65   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
66   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
67   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
68   1.6438954E+01   2.5754089E+01  -6.1512566E+00  -6.3274694E+00   2.8044468E+00   1.2842773E+01  -1.3449961E+01   8.6774124E+00   6.8281819E+00   9.2901280E+00   8.1658774E+00  
69   1.6427827E+01   2.5754711E+01  -6.1522286E+00  -6.3275846E+00   2.8054081E+00   1.2845253E+01  -1.3449615E+01   8.6773366E+00   6.8284505E+00   9.2895635E+00   8.1658430E+00  
70   1.5059106E+01   2.5754677E+01  -6.1522497E+00  -6.3281542E+00   2.8054702E+00   1.2845550E+01  -1.3448569E+01   8.6771615E+00   6.8284377E+00   9.2898238E+00   8.1660581E+00  
